dest_nt_domain,dest_port,dest_ip
uk-man.prod.surfshark.com,1194,103.219.21.42
us-buf.prod.surfshark.com,1443,172.216.8.10
us-clt.prod.surfshark.com,1443,191.96.101.173
lv-rig.prod.surfshark.com,1443,80.246.31.82
cr-sjn.prod.surfshark.com,1443,176.227.241.68
au-per.prod.surfshark.com,1194,124.150.139.35
is-rkv.prod.surfshark.com,1443,45.139.252.20
se-sto.prod.surfshark.com,1443,185.76.9.51
cy-nic.prod.surfshark.com,1194,193.19.204.70
es-bcn.prod.surfshark.com,1194,185.188.61.40
rs-beg.prod.surfshark.com,1194,130.195.209.197
es-mad.prod.surfshark.com,1443,89.37.95.204
ca-mon.prod.surfshark.com,1194,195.86.1.56
md-chi.prod.surfshark.com,1194,217.9.245.101
us-dtw.prod.surfshark.com,1443,185.141.119.84
th-bkk.prod.surfshark.com,1443,151.240.88.179
us-dtw.prod.surfshark.com,1194,185.141.119.84
co-bog.prod.surfshark.com,1194,149.88.111.68
hr-zag.prod.surfshark.com,1194,149.102.247.133
at-vie.prod.surfshark.com,1443,87.249.133.71
pt-opo.prod.surfshark.com,1194,103.192.205.7
au-mel.prod.surfshark.com,1194,103.192.80.141
au-bne.prod.surfshark.com,1194,86.38.102.8
hr-zag.prod.surfshark.com,1443,149.102.247.133
bg-sof.prod.surfshark.com,1443,185.9.16.211
us-hou.prod.surfshark.com,1443,149.40.58.22
pt-lis.prod.surfshark.com,1443,149.88.20.91
kh-pnh.prod.surfshark.com,1443,62.197.146.19
bz-blp.prod.surfshark.com,1194,212.119.33.18
lv-rig.prod.surfshark.com,1194,80.246.31.76
kz-ura.prod.surfshark.com,1443,217.9.250.85
cy-nic.prod.surfshark.com,1443,193.19.204.70
vn-hcm.prod.surfshark.com,1194,83.97.112.19
us-bdn.prod.surfshark.com,1443,104.255.173.143
be-bru.prod.surfshark.com,1194,146.70.55.251
mm-nyt.prod.surfshark.com,1443,45.95.242.39
rs-beg.prod.surfshark.com,1443,130.195.209.197
th-bkk.prod.surfshark.com,1194,151.240.88.179
py-asu.prod.surfshark.com,1194,194.26.131.36
hu-bud.prod.surfshark.com,1443,146.70.120.35
us-chi.prod.surfshark.com,1194,103.103.98.69
us-hou.prod.surfshark.com,1194,149.40.58.22
gl-goh.prod.surfshark.com,1443,92.62.123.101
pe-lim.prod.surfshark.com,1443,95.173.223.108
se-sto.prod.surfshark.com,1194,185.76.9.51
ua-iev.prod.surfshark.com,1443,143.244.46.108
lt-vno.prod.surfshark.com,1194,62.197.149.103
fr-par.prod.surfshark.com,1443,143.244.57.85
au-bne.prod.surfshark.com,1443,144.48.39.123
pl-waw.prod.surfshark.com,1194,45.134.212.33
uz-tas.prod.surfshark.com,1194,94.154.124.99
la-vte.prod.surfshark.com,1443,194.169.168.24
us-ltm.prod.surfshark.com,1194,45.43.19.30
bn-bwn.prod.surfshark.com,1194,62.197.158.46
ge-tbs.prod.surfshark.com,1194,83.97.115.18
us-dal.prod.surfshark.com,1194,2.56.189.74
in-del.prod.surfshark.com,1194,92.62.121.19
fr-bod.prod.surfshark.com,1443,195.86.24.110
us-slc.prod.surfshark.com,1443,172.216.252.12
us-bna.prod.surfshark.com,1443,82.26.162.46
pa-pac.prod.surfshark.com,1443,185.244.139.85
py-asu.prod.surfshark.com,1443,194.26.131.18
jp-tok.prod.surfshark.com,1194,93.118.41.110
au-mel.prod.surfshark.com,1443,103.192.80.141
sg-sng.prod.surfshark.com,1443,149.88.106.130
gh-acc.prod.surfshark.com,1443,172.216.244.20
bz-blp.prod.surfshark.com,1443,212.119.33.18
us-las.prod.surfshark.com,1443,79.110.54.13
be-anr.prod.surfshark.com,1194,103.109.244.108
es-vlc.prod.surfshark.com,1194,193.19.207.88
uy-mvd.prod.surfshark.com,1443,212.119.32.34
mt-mla.prod.surfshark.com,1194,193.228.56.134
im-iom.prod.surfshark.com,1194,62.197.148.67
kr-seo.prod.surfshark.com,1443,84.233.167.132
ca-mon.prod.surfshark.com,1443,195.86.1.56
us-nyc.prod.surfshark.com,1194,194.54.144.82
id-jak.prod.surfshark.com,1443,93.185.162.23
pk-khi.prod.surfshark.com,1194,151.244.60.32
za-jnb.prod.surfshark.com,1443,149.102.248.140
mo-mfm.prod.surfshark.com,1194,62.197.154.22
li-qvu.prod.surfshark.com,1443,62.197.150.69
gr-ath.prod.surfshark.com,1194,149.102.246.98
my-kul.prod.surfshark.com,1194,202.176.4.31
ma-rab.prod.surfshark.com,1194,89.117.44.20
ie-dub.prod.surfshark.com,1443,37.120.235.29
gl-goh.prod.surfshark.com,1194,92.62.123.101
pt-opo.prod.surfshark.com,1443,103.192.205.7
us-sjc.prod.surfshark.com,1194,156.146.54.69
us-ash.prod.surfshark.com,1443,149.102.227.108
au-per.prod.surfshark.com,1443,124.150.139.35
cz-prg.prod.surfshark.com,1194,185.242.6.51
ie-dub.prod.surfshark.com,1194,149.34.242.59
us-sea.prod.surfshark.com,1194,138.199.12.50
us-las.prod.surfshark.com,1194,79.110.54.109
bo-sre.prod.surfshark.com,1194,194.169.171.36
us-sjc.prod.surfshark.com,1443,156.146.54.69
ec-uio.prod.surfshark.com,1194,92.62.122.18
az-bak.prod.surfshark.com,1443,89.117.47.35
gh-acc.prod.surfshark.com,1194,172.216.244.20
si-lju.prod.surfshark.com,1443,195.158.249.21
us-buf.prod.surfshark.com,1194,172.216.8.12
ca-tor.prod.surfshark.com,1443,149.88.16.150
id-jak.prod.surfshark.com,1194,93.185.162.132
cl-san.prod.surfshark.com,1194,149.88.104.41
bd-dac.prod.surfshark.com,1443,62.197.153.39
fr-par.prod.surfshark.com,1194,85.204.70.103
za-jnb.prod.surfshark.com,1194,149.102.248.140
bs-nas.prod.surfshark.com,1443,62.197.145.36
fi-hel.prod.surfshark.com,1194,193.56.113.6
vn-hcm.prod.surfshark.com,1443,83.97.112.17
us-sfo.prod.surfshark.com,1194,172.216.250.17
mn-uln.prod.surfshark.com,1194,62.197.155.53
sg-sng.prod.surfshark.com,1194,149.88.106.130
gr-ath.prod.surfshark.com,1443,79.127.181.185
dz-alg.prod.surfshark.com,1443,62.197.144.133
fr-mrs.prod.surfshark.com,1194,103.93.42.27
au-adl.prod.surfshark.com,1443,103.214.20.195
pl-gdn.prod.surfshark.com,1443,37.28.156.11
uk-lon.prod.surfshark.com,1443,178.239.163.71
be-anr.prod.surfshark.com,1443,103.109.244.108
bs-nas.prod.surfshark.com,1194,62.197.145.52
us-atl.prod.surfshark.com,1194,92.119.16.105
ar-bua.prod.surfshark.com,1443,89.117.41.163
us-atl.prod.surfshark.com,1443,92.119.16.105
ge-tbs.prod.surfshark.com,1443,83.97.115.18
ng-lag.prod.surfshark.com,1194,79.127.149.49
mc-mcm.prod.surfshark.com,1443,62.197.151.34
in-del.prod.surfshark.com,1443,92.62.121.19
il-tlv.prod.surfshark.com,1443,169.150.227.140
be-bru.prod.surfshark.com,1443,146.70.55.251
is-rkv.prod.surfshark.com,1194,45.139.252.20
bt-pbh.prod.surfshark.com,1194,62.197.157.39
sa-ruh.prod.surfshark.com,1443,45.150.5.20
fr-mrs.prod.surfshark.com,1443,103.93.42.31
uk-gla.prod.surfshark.com,1443,188.240.58.73
nl-ams.prod.surfshark.com,1194,143.244.42.79
eg-cai.prod.surfshark.com,1194,62.197.147.51
in-mum.prod.surfshark.com,1443,176.227.240.78
bt-pbh.prod.surfshark.com,1443,62.197.157.44
uk-man.prod.surfshark.com,1443,103.219.21.42
au-adl.prod.surfshark.com,1194,103.214.20.205
co-bog.prod.surfshark.com,1443,149.88.111.209
ro-buc.prod.surfshark.com,1194,185.102.217.196
kr-seo.prod.surfshark.com,1194,172.216.251.22
ma-rab.prod.surfshark.com,1443,89.117.44.20
np-ktm.prod.surfshark.com,1443,194.169.170.44
ch-zur.prod.surfshark.com,1194,169.150.197.2
ve-car.prod.surfshark.com,1194,45.149.3.34
am-evn.prod.surfshark.com,1443,92.62.120.83
md-chi.prod.surfshark.com,1443,217.9.245.101
kh-pnh.prod.surfshark.com,1194,62.197.146.19
